Method,Type,SPH_MicroF1,PTBXL_MicroF1,SXPH_MicroF1,G12EC_MicroF1,Global_MicroF1,Delta_vs_FedAvg
Centralized,Upper Bound,86.67,77.36,87.11,75.98,83.48,+14.69
Local_Client1,Local,86.89,54.70,62.06,52.00,65.47,-3.32
Local_Client2,Local,64.61,74.77,24.31,42.63,47.91,-20.88
Local_Client3,Local,22.17,17.44,87.90,56.55,51.26,-17.53
Local_Client4,Local,21.32,16.77,64.27,60.56,41.18,-27.61
FedAvg,FL Baseline,71.78,50.33,77.87,67.10,68.79,0.00
FedProx,FL Baseline,69.38,49.46,74.53,67.69,66.48,-2.31
Scaffold,FL Baseline,70.76,51.32,74.33,66.41,67.15,-1.64
Ditto,PFL,69.86,50.09,74.62,65.40,66.75,-2.04
FedInit,PFL,70.73,51.65,75.04,67.38,67.57,-1.22
FedALA,PFL,71.21,51.74,76.68,66.56,68.41,-0.38
FedSM,PFL,50.18,45.54,75.00,74.66,62.12,-6.67
FedDualAtt_0-8,Ours (Local-only),39.35,34.31,76.14,69.00,58.50,-10.29
FedDualAtt_1-7,Ours,77.33,53.87,79.01,67.96,71.58,+2.79
FedDualAtt_2-6,Ours,69.65,47.25,78.48,66.62,68.00,-0.79
FedDualAtt_3-5,Ours,79.61,55.27,78.07,68.46,72.12,+3.33
FedDualAtt_4-4,Ours,77.32,53.61,78.24,67.70,71.21,+2.42
FedDualAtt_5-3,Ours (Best Stable),81.17,55.84,77.79,68.05,72.47,+3.68
FedDualAtt_6-2,Ours,71.61,49.43,77.06,65.34,68.17,-0.62
FedDualAtt_7-1,Ours,77.82,54.83,78.63,67.75,71.74,+2.95
FedDualAtt_8-0,Ours (Global-only),80.68,56.67,78.11,68.26,72.68,+3.89
