method,type,SPH_micro_f1_mean,SPH_micro_f1_std,SPH_acc_mean,SPH_acc_std,SPH_mAP_mean,SPH_mAP_std,PTB-XL_micro_f1_mean,PTB-XL_micro_f1_std,PTB-XL_acc_mean,PTB-XL_acc_std,PTB-XL_mAP_mean,PTB-XL_mAP_std,SXPH_micro_f1_mean,SXPH_micro_f1_std,SXPH_acc_mean,SXPH_acc_std,SXPH_mAP_mean,SXPH_mAP_std,G12EC_micro_f1_mean,G12EC_micro_f1_std,G12EC_acc_mean,G12EC_acc_std,G12EC_mAP_mean,G12EC_mAP_std,global_micro_f1_mean,global_micro_f1_std,global_acc_mean,global_acc_std,global_mAP_mean,global_mAP_std
Centralized,baseline,86.67,,82.36,,56.27,,77.36,,60.36,,57.30,,87.11,,81.29,,38.98,,75.98,,55.68,,42.32,,83.48,,74.94,,66.73,
FedAvg,baseline,71.78,,57.66,,54.65,,50.33,,27.58,,56.70,,77.87,,70.49,,38.79,,67.10,,47.54,,41.45,,68.79,,55.64,,52.79,
FedProx,baseline,69.38,,49.99,,55.02,,49.46,,23.66,,54.31,,74.53,,68.14,,37.54,,67.69,,48.43,,41.15,,66.48,,51.75,,51.70,
Scaffold,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditto,baseline,69.86,,57.75,,53.25,,50.09,,30.55,,51.09,,74.62,,68.38,,36.54,,65.40,,46.25,,37.35,,66.75,,55.33,,48.75,
FedInit,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedSM,baseline,50.31,,34.27,,53.41,,45.44,,19.64,,58.36,,75.82,,68.07,,38.99,,73.91,,53.10,,44.84,,62.06,,46.96,,54.81,
FedALA,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedDualAtt (8G:0L),feddualatt,80.68,2.20,71.71,3.79,57.27,0.97,56.67,2.09,36.71,2.10,56.46,2.61,78.11,1.15,69.83,1.10,39.67,0.97,68.26,1.51,48.24,2.21,42.59,1.89,72.68,1.12,61.23,1.66,54.81,1.91
FedDualAtt (7G:1L),feddualatt,87.50,0.23,82.58,0.19,59.43,0.58,72.28,0.68,53.74,1.05,59.61,0.91,86.78,0.60,80.36,1.01,40.19,0.45,73.55,0.91,52.63,1.41,43.57,0.54,63.43,3.01,48.77,3.26,45.98,0.44
FedDualAtt (6G:2L),feddualatt,86.96,1.15,82.40,1.67,56.58,3.84,70.06,4.11,50.93,4.91,57.69,4.70,85.65,2.55,79.18,2.49,38.43,2.23,70.72,3.41,48.48,3.57,40.72,2.55,57.52,2.78,42.30,4.13,43.80,4.06
FedDualAtt (5G:3L),feddualatt,87.76,0.54,83.15,0.65,59.15,0.64,73.99,1.06,56.75,0.83,61.27,1.21,86.20,0.36,79.66,0.58,40.46,0.39,73.20,1.69,51.39,2.67,43.06,0.96,61.92,4.90,45.67,6.66,48.42,2.20
FedDualAtt (4G:4L),feddualatt,86.98,0.55,82.25,0.63,58.83,2.19,72.62,1.69,53.70,2.70,59.26,2.37,85.66,1.23,78.04,2.10,40.13,1.35,73.24,2.28,51.89,2.69,43.31,2.15,65.62,3.32,51.80,4.55,50.28,2.41
FedDualAtt (3G:5L),feddualatt,87.41,0.56,82.22,1.44,59.72,0.88,73.12,1.14,54.14,2.43,60.51,1.03,85.74,1.10,78.22,2.36,40.45,0.45,73.72,1.95,51.88,1.76,43.83,1.32,65.05,6.22,50.28,8.04,50.98,4.19
FedDualAtt (2G:6L),feddualatt,86.78,0.85,81.61,0.77,56.41,4.01,70.30,3.52,50.88,4.59,57.43,3.63,85.21,1.71,77.49,2.34,38.59,2.64,71.21,3.82,48.98,4.38,41.74,2.89,63.36,5.93,49.24,7.86,49.93,3.47
FedDualAtt (1G:7L),feddualatt,86.64,0.50,80.97,1.54,59.26,0.89,72.20,0.47,52.01,1.49,60.15,1.13,85.18,0.59,77.48,0.94,40.58,0.35,74.29,1.00,52.68,1.74,43.36,0.44,66.77,5.49,54.36,6.11,51.09,1.91
FedDualAtt (0G:8L),feddualatt,87.48,0.37,83.86,0.35,59.72,1.87,75.20,1.78,58.33,1.92,61.11,2.63,86.39,1.21,80.60,1.45,39.89,1.31,74.05,3.00,53.12,3.52,43.78,2.65,50.79,1.74,31.29,1.73,44.49,2.43
