algorithm,SPH_acc,SPH_micro_f1,SPH_mAP,PTB-XL_acc,PTB-XL_micro_f1,PTB-XL_mAP,SXPH_acc,SXPH_micro_f1,SXPH_mAP,G12EC_acc,G12EC_micro_f1,G12EC_mAP,global_acc,global_micro_f1,global_mAP,cross_acc_SPH_to_SPH,cross_acc_SPH_to_PTB-XL,cross_acc_SPH_to_SXPH,cross_acc_SPH_to_G12EC,cross_acc_PTB-XL_to_SPH,cross_acc_PTB-XL_to_PTB-XL,cross_acc_PTB-XL_to_SXPH,cross_acc_PTB-XL_to_G12EC,cross_acc_SXPH_to_SPH,cross_acc_SXPH_to_PTB-XL,cross_acc_SXPH_to_SXPH,cross_acc_SXPH_to_G12EC,cross_acc_G12EC_to_SPH,cross_acc_G12EC_to_PTB-XL,cross_acc_G12EC_to_SXPH,cross_acc_G12EC_to_G12EC,cross_f1_SPH_to_SPH,cross_f1_SPH_to_PTB-XL,cross_f1_SPH_to_SXPH,cross_f1_SPH_to_G12EC,cross_f1_PTB-XL_to_SPH,cross_f1_PTB-XL_to_PTB-XL,cross_f1_PTB-XL_to_SXPH,cross_f1_PTB-XL_to_G12EC,cross_f1_SXPH_to_SPH,cross_f1_SXPH_to_PTB-XL,cross_f1_SXPH_to_SXPH,cross_f1_SXPH_to_G12EC,cross_f1_G12EC_to_SPH,cross_f1_G12EC_to_PTB-XL,cross_f1_G12EC_to_SXPH,cross_f1_G12EC_to_G12EC,cross_mAP_SPH_to_SPH,cross_mAP_SPH_to_PTB-XL,cross_mAP_SPH_to_SXPH,cross_mAP_SPH_to_G12EC,cross_mAP_PTB-XL_to_SPH,cross_mAP_PTB-XL_to_PTB-XL,cross_mAP_PTB-XL_to_SXPH,cross_mAP_PTB-XL_to_G12EC,cross_mAP_SXPH_to_SPH,cross_mAP_SXPH_to_PTB-XL,cross_mAP_SXPH_to_SXPH,cross_mAP_SXPH_to_G12EC,cross_mAP_G12EC_to_SPH,cross_mAP_G12EC_to_PTB-XL,cross_mAP_G12EC_to_SXPH,cross_mAP_G12EC_to_G12EC,run_dir
centralized,82.36,86.67,56.27,60.36,77.36,57.30,81.29,87.11,38.98,55.68,75.98,42.32,74.94,83.48,66.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\centralized\20260126173934
local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fedavg,57.66,71.78,54.65,27.58,50.33,56.70,70.49,77.87,38.79,47.54,67.10,41.45,55.64,68.79,52.79,81.98,40.17,57.28,36.42,64.06,54.57,15.21,19.26,17.03,4.52,82.75,39.32,18.84,7.97,60.34,55.04,86.56,55.66,67.38,57.05,71.43,73.09,29.05,42.51,22.63,17.76,87.72,57.34,26.98,26.41,71.95,75.73,58.82,48.44,30.95,36.05,46.13,57.32,29.52,36.13,37.79,38.89,38.21,35.57,44.83,43.98,34.77,42.98,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\fedavg\20260126201953
fedprox,49.99,69.38,55.02,23.66,49.46,54.31,68.14,74.53,37.54,48.43,67.69,41.15,51.75,66.48,51.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\fedprox\20260126220041
scaffold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ditto,57.75,69.86,53.25,30.55,50.09,51.09,68.38,74.62,36.54,46.25,65.40,37.35,55.33,66.75,48.75,76.97,39.25,43.56,31.35,53.51,52.76,3.97,14.50,18.22,4.99,80.96,42.14,8.61,3.58,32.38,18.86,84.14,55.68,59.38,54.60,63.20,74.11,27.32,46.86,24.53,20.70,86.92,60.80,16.16,21.74,48.71,42.64,61.90,55.57,32.00,39.82,46.65,56.33,31.92,36.54,43.94,46.02,39.34,39.08,28.25,32.25,27.86,31.60,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\ditto\20260126233118
fedinit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fedala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fedsm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt,67.29,77.32,57.95,32.26,53.45,57.11,70.72,78.05,40.16,48.59,68.27,43.56,59.45,70.99,55.63,83.34,41.61,56.33,37.39,65.28,57.68,8.96,12.25,17.08,4.28,80.62,39.08,18.51,10.33,42.47,59.79,87.84,59.13,67.43,57.14,73.88,76.92,29.98,39.90,23.19,17.89,86.12,58.09,30.92,32.49,65.57,81.09,63.02,52.07,33.35,39.60,52.21,61.76,31.22,37.79,42.80,39.32,39.66,37.28,48.29,51.26,34.35,50.60,C:\Users\kl23a\Documents\Working\FedCVD\output\dual_attention_resnet1d\feddualatt\20260127064724
